,0
0,3.1789973
1,2.952924
2,2.5600886
3,2.6311011
4,2.6547039
5,2.4060023
6,2.3496141
7,2.1830115
8,1.8079991
9,2.1454244
10,2.0528681
11,1.698596
12,1.8279082
13,1.7088926
14,1.2872397
15,1.1363671
