,0
0,1.5896407
1,0.9835076
2,0.9712141
3,0.8094204
4,0.9594273
5,1.0815564
6,1.225356
7,0.8903324
8,0.7409958
9,0.71094227
10,0.71915084
11,0.5541902
12,0.7657546
13,0.67960095
14,0.56107974
15,0.519436
16,0.65973246
17,0.55175203
18,0.5416394
19,0.66294765
